iter	Passed	Remaining
1079	6667	5679
1080	6673	5673
1081	6679	5667
1082	6685	5661
1083	6691	5654
1084	6697	5648
1085	6703	5642
1086	6710	5636
1087	6716	5629
1088	6722	5623
1089	6728	5617
1090	6734	5610
1091	6739	5604
1092	6745	5597
1093	6751	5591
1094	6758	5585
1095	6763	5578
1096	6769	5572
1097	6775	5566
1098	6781	5559
1099	6787	5553
1100	6793	5547
1101	6799	5540
1102	6805	5534
1103	6811	5528
1104	6817	5522
1105	6824	5516
1106	6830	5509
1107	6836	5503
1108	6843	5498
1109	6849	5492
1110	6855	5486
1111	6862	5479
1112	6869	5474
1113	6875	5468
1114	6881	5461
1115	6887	5455
1116	6893	5449
1117	6899	5443
1118	6906	5437
1119	6912	5430
1120	6918	5424
1121	6923	5418
1122	6930	5412
1123	6936	5405
1124	6942	5399
1125	6948	5393
1126	6954	5387
1127	6961	5381
1128	6967	5375
1129	6973	5369
1130	6980	5363
1131	6986	5357
1132	6992	5351
1133	6998	5344
1134	7004	5338
1135	7010	5332
1136	7016	5325
1137	7022	5319
1138	7028	5312
1139	7034	5306
1140	7041	5301
1141	7047	5294
1142	7053	5288
1143	7059	5282
1144	7065	5276
1145	7072	5270
1146	7078	5263
1147	7083	5257
1148	7089	5251
1149	7096	5245
1150	7101	5238
1151	7107	5232
1152	7113	5225
1153	7120	5219
1154	7125	5213
1155	7132	5207
1156	7138	5201
1157	7144	5194
1158	7150	5188
1159	7156	5182
1160	7163	5176
1161	7169	5170
1162	7175	5164
1163	7182	5158
1164	7187	5151
1165	7194	5145
1166	7200	5139
1167	7206	5133
1168	7212	5127
1169	7218	5120
1170	7224	5114
1171	7230	5108
1172	7236	5102
1173	7242	5095
1174	7248	5089
1175	7254	5082
1176	7260	5076
1177	7266	5070
1178	7272	5064
1179	7278	5057
1180	7284	5051
1181	7290	5045
1182	7296	5038
1183	7302	5032
1184	7308	5026
1185	7314	5020
1186	7320	5013
1187	7326	5007
1188	7332	5001
1189	7339	4995
1190	7345	4989
1191	7351	4983
1192	7357	4977
1193	7364	4971
1194	7370	4965
1195	7376	4958
1196	7382	4952
1197	7389	4946
1198	7395	4940
1199	7401	4934
1200	7407	4927
1201	7413	4921
1202	7419	4915
